Normal                Helms                 |  Possible  |  1-25  |  26-40  |  41+   |
Cap                   |      2     |    2   |    2    |    2   |
Skull Cap             |      2     |    2   |    2    |    2   |
Helm                  |      2     |    2   |    2    |    2   |
Full Helm             |      2     |    2   |    2    |    2   |
Great Helm            |      3     |    2   |    2    |    3   |
Crown                 |      3     |    2   |    2    |    3   |
Mask                  |      3     |    2   |    2    |    3   |
Bone Helm             |      2     |    2   |    2    |    2   |
Exceptional           Helms                 |  Possible  |  1-25  |  26-40  |  41+   |
War Hat               |      2     |    2   |    2    |    2   |
Sallet                |      2     |    2   |    2    |    2   |
Casque                |      2     |    2   |    2    |    2   |
Basinet               |      2     |    2   |    2    |    2   |
Winged Helm           |      3     |    2   |    2    |    3   |
Grand Crown           |      3     |    2   |    2    |    3   |
Death Mask            |      3     |    2   |    2    |    3   |
Grim Helm             |      2     |    2   |    2    |    2   |
Elite                 Helms                 |  Possible  |  1-25  |  26-40  |  41+   |
Shako                 |      2     |    2   |    2    |    2   |
Hydraskull            |      2     |    2   |    2    |    2   |
Armet                 |      2     |    2   |    2    |    2   |
Giant Conch           |      2     |    2   |    2    |    2   |
Spired Helm           |      3     |    2   |    2    |    3   |
Corona                |      3     |    2   |    2    |    3   |
Demonhead             |      3     |    2   |    2    |    3   |
Bone Visage           |      3     |    2   |    2    |    3   |
Normal                Circlets              |  Possible  |  1-25  |  26-40  |  41+   |
Circlet               |      2     |    1   |    2    |    2   |
Coronet               |      2     |    1   |    2    |    2   |
Exceptional           Circlets              |  Possible  |  1-25  |  26-40  |  41+   |
Tiara                 |      3     |    1   |    2    |    3   |
Elite                 Circlets              |  Possible  |  1-25  |  26-40  |  41+   |
Diadem                |      3     |    1   |    2    |    3   |
Normal                Barbarian Helms       |  Possible  |  1-25  |  26-40  |  41+   |
Jawbone Cap           |      3     |    2   |    3    |    3   |
Fanged Helm           |      3     |    2   |    3    |    3   |
Horned Helm           |      3     |    2   |    3    |    3   |
Assault Helmet        |      3     |    2   |    3    |    3   |
Avenger Guard         |      3     |    2   |    3    |    3   |
Exceptional           Barbarian Helms       |  Possible  |  1-25  |  26-40  |  41+   |
Jawbone Visor         |      3     |    2   |    3    |    3   |
Lion Helm             |      3     |    2   |    3    |    3   |
Rage Mask             |      3     |    2   |    3    |    3   |
Savage Helmet         |      3     |    2   |    3    |    3   |
Slayer Guard          |      3     |    2   |    3    |    3   |
Elite                 Barbarian Helms       |  Possible  |  1-25  |  26-40  |  41+   |
Carnage Helm          |      3     |    2   |    3    |    3   |
Fury Visor            |      3     |    2   |    3    |    3   |
Destroyer Helm        |      3     |    2   |    3    |    3   |
Conquerer Crown       |      3     |    2   |    3    |    3   |
Guardian Crown        |      3     |    2   |    3    |    3   |
Normal                Druid Pelts           |  Possible  |  1-25  |  26-40  |  41+   |
Wolf Head             |      3     |    2   |    3    |    3   |
Hawk Helm             |      3     |    2   |    3    |    3   |
Antlers               |      3     |    2   |    3    |    3   |
Falcon Mask           |      3     |    2   |    3    |    3   |
Spirit Mask           |      3     |    2   |    3    |    3   |
Exceptional           Druid Pelts           |  Possible  |  1-25  |  26-40  |  41+   |
Alpha Helm            |      3     |    2   |    3    |    3   |
Griffon Headress      |      3     |    2   |    3    |    3   |
Hunter's Guise        |      3     |    2   |    3    |    3   |
Sacred Feathers       |      3     |    2   |    3    |    3   |
Totemic Mask          |      3     |    2   |    3    |    3   |
Elite                 Druid Pelts           |  Possible  |  1-25  |  26-40  |  41+   |
Blood Spirit          |      3     |    2   |    3    |    3   |
Sun Spirit            |      3     |    2   |    3    |    3   |
Earth Spirit          |      3     |    2   |    3    |    3   |
Sky Spirit            |      3     |    2   |    3    |    3   |
Dream Spirit          |      3     |    2   |    3    |    3   |
Normal                Body Armor            |  Possible  |  1-25  |  26-40  |  41+   |
